SECTYPE,SECURITY,ISSUE_NAME,ISSUE_DESC,ISSUE_DATE,MAT_DATE,Last IP Dt,Next IP Dt,Cpn Freq,Last Traded Date,Last Traded Price (in Rs.),ISIN NO.
SG,NAG21,8.60%,SDL NAGALAND 8.60% 2021,08-Jun-11,08-Jun-21,08-Dec-19,08-Jun-20,Half Yearly,,0,IN2620110014
SG,TN21,8.56%,SDL TAMIL NADU 8.56% 2021,22-Jun-11,22-Jun-21,22-Dec-19,22-Jun-20,Half Yearly,11-Apr-17,104.5379,IN3120110033
DP,TISCA,RESET,TATA STEEL RESET PERP BD,11-May-11,11-May-21,11-Nov-19,11-May-20,Half Yearly,25-Nov-16,109.95,INE081A08173
PT,IRFC21,9.57%,IRFC 9.57% 2021 (S-77),31-May-11,31-May-21,15-Apr-20,15-Oct-20,Half Yearly,16-Jul-18,103.7084,INE053F09HR2
SG,MEGH21,8.65%,SDL MEGHALAYA 8.65% 2021,11-May-11,11-May-21,11-Nov-19,11-May-20,Half Yearly,,0,IN2420110016
PT,IRFC26,9.33%,IRFC 9.33% 2026 (SR-76-A),10-May-11,10-May-26,15-Apr-20,15-Oct-20,Half Yearly,26-May-11,100,INE053F09HP6
PT,PGC21,8.73%,PGC 8.73% 2021 (S-XXI STRPP-L),11-Oct-06,11-Oct-21,11-Oct-19,11-Oct-20,Yearly,26-Sep-13,94.5453,INE752E07BZ2
GS,CG2024,8.03%,GOI LOAN 8.03% 2024 (FCI SPL),15-Dec-06,15-Dec-24,15-Dec-19,15-Jun-20,Half Yearly,03-Apr-18,100.8021,IN0020060011
BB,ICIC21,8.25%,ICICIBK 8.25% 2021(S-DJU06RRB,14-Feb-06,14-Feb-21,14-Feb-20,14-Feb-21,Yearly,,0,INE090A08IF0
GS,CG2024,8.20%,GOI LOAN 8.20% 2024 (SPL OIL),12-Feb-07,12-Feb-24,12-Feb-20,12-Aug-20,Half Yearly,23-May-18,99.0858,IN0020060060
PT,IRFC20,8.20%,IRFC 8.20% 2020 (S-65K),27-Apr-09,27-Apr-20,15-Apr-20,27-Apr-20,Half Yearly,22-Jul-19,100.9307,INE053F09GJ1
TS,PIDB24,0.40%,PUNJAB INFRA 0.4% 2024 SIII A,15-Oct-08,15-Oct-24,15-Oct-19,15-Oct-20,Yearly,,0,INE091D11113
DB,CHOI20,11%,CHOI 11% 2020 (S-SD 17),28-Apr-10,28-Apr-20,28-Apr-19,28-Apr-20,Yearly,08-May-15,103.3683,INE121A08LS0
PT,IRFC31,8.72%,IRF 8.72% 2031 (Series-70 'A'),04-May-10,04-May-31,15-Apr-20,15-Oct-20,Half Yearly,,0,INE053F09GY0
PT,IRFC34,8.83%,IRF 8.83% 2034 (SERIES-71 'D'),14-May-10,14-May-34,15-Apr-20,15-Oct-20,Half Yearly,,0,INE053F09HG5
PT,IRFC35,8.83%,IRF 8.83% 2035 (SERIES-71 'E'),14-May-10,14-May-35,15-Apr-20,15-Oct-20,Half Yearly,,0,INE053F09HH3
PT,PGC24,8.64%,PGC 8.64% 2024 (S-XXXIII-K),08-Jul-10,08-Jul-24,08-Jul-19,08-Jul-20,Yearly,09-Sep-10,98.8746,INE752E07HM7
BB,IDBI25,8.57%,IDBI OMNI 8.57% 2025 T-II S-II,08-Jul-10,08-Jul-25,02-Apr-20,02-Apr-21,Yearly,,0,INE008A08S88
SG,UP20,8.37%,SDL UTTAR PRADESH 8.37% 2020,04-Aug-10,04-Aug-20,04-Feb-20,04-Aug-20,Half Yearly,13-Aug-10,100.3,IN3320100065
SG,WB20,8.44%,SDL WEST BENGAL 8.44% 2020,25-Aug-10,25-Aug-20,25-Feb-20,25-Aug-20,Half Yearly,26-Mar-18,102.1494,IN3420100064
DB,CHOI20,10.70%,CHOLAMAND 10.70% 2020(S-SD-19),06-Jul-10,06-Jul-20,06-Jul-19,06-Jul-20,Yearly,,0,INE121A08LU6
SG,MAN21,8.40%,SDL MANIPUR 8.40% 2021,23-Mar-11,23-Mar-21,23-Mar-20,23-Sep-20,Half Yearly,,0,IN2320100034
PZ,RECL20,0%,RECL 0% 2020,15-Dec-10,15-Dec-20,,,0,11-May-17,77.872,INE020B08476
PT,APPF20,8.49%,APPFC 8.49% 2020 SR-I/10 OPT-A,15-Nov-10,15-Nov-20,01-Apr-20,01-Oct-20,Half Yearly,,0,INE847E09011
SG,NAG21,8.39%,SDL NAGALAND 8.39% 2021,16-Mar-11,16-Mar-21,16-Mar-20,16-Sep-20,Half Yearly,,0,IN2620100031
SG,ASSM21,8.48%,SDL ASSAM 8.48% 2021,03-Mar-11,03-Mar-21,03-Mar-20,03-Sep-20,Half Yearly,20-Dec-18,101.7737,IN1220100011
SG,PUD21,8.47%,UTL PUDUCHERRY  8.47% 2021,03-Mar-11,03-Mar-21,03-Mar-20,03-Sep-20,Half Yearly,,0,IN3820100037
SG,NAG21,8.41%,SDL NAGALAND 8.41% 2021,30-Mar-11,30-Mar-21,30-Mar-20,30-Sep-20,Half Yearly,,0,IN2620100049
SG,AP20,8.07%,SDL ANDHRA PRADESH 8.07% 2020,25-May-10,25-May-20,25-Nov-19,25-May-20,Half Yearly,08-Sep-17,103.1677,IN1020100039
SG,HARY20,8.07%,SDL HARYANA 8.07% 2020,25-May-10,25-May-20,25-Nov-19,25-May-20,Half Yearly,,0,IN1620100025
PT,PGC28,9.35%,PGCIL 9.35% 2028 (S-XXXVI-M),29-Aug-11,29-Aug-28,29-Aug-19,29-Aug-20,Yearly,18-Jun-19,109.6691,INE752E07IY0
PT,PGC30,9.35%,PGCIL 9.35% 2030 (S-XXXVI-O),29-Aug-11,29-Aug-30,29-Aug-19,29-Aug-20,Yearly,28-Nov-18,105.2908,INE752E07JA8
DB,HDFC21,9.45%,HDFC 9.45% 2021 (S-I-016),17-Aug-11,17-Aug-21,17-Aug-19,17-Aug-20,Yearly,29-Dec-16,105.6072,INE001A07HE4
SG,GOA21,8.65%,SDL GOA 8.65% 2021,21-Sep-11,21-Sep-21,21-Mar-20,21-Sep-20,Half Yearly,29-Jul-15,101.6399,IN1420110018
SG,UP21,8.90%,SDL UTTAR PRADESH 8.90% 2021,05-Oct-11,05-Oct-21,05-Apr-20,05-Oct-20,Half Yearly,,0,IN3320110080
DB,HDFC21A,9.90%,HDFC 9.90% 2021(S-I-021),11-Nov-11,11-Nov-21,11-Nov-19,11-Nov-20,Yearly,15-Jul-19,103.8896,INE001A07HJ3
SG,RAJ21,9.23%,SDL RAJASTHAN 9.23% 2021,23-Nov-11,23-Nov-21,23-Nov-19,23-May-20,Half Yearly,,0,IN2920110052
DB,DPSC20,10.75%,DPSC 10.75% 2020,03-Nov-10,03-Nov-20,03-Nov-19,03-Nov-20,Yearly,,0,INE360C07054
DB,TPOW20,9.15%,TATA POWER 9.15% 2020 STRPP-J,23-Jul-10,23-Jul-20,23-Jul-19,23-Jul-20,Yearly,29-Nov-12,98.0292,INE245A07218
SG,TN21,8.50%,SDL TAMIL NADU 8.50% 2021,17-Feb-11,17-Feb-21,17-Feb-20,17-Aug-20,Half Yearly,03-Feb-16,101.2119,IN3120100117
DB,HDFC21,9.30%,HDFC 9.30% 2021 (S-216-H-020),18-Jan-11,18-Jan-21,18-Jan-20,18-Jan-21,Yearly,21-Sep-16,104.498,INE001A07GD8
SG,ARUN22,9.02%,SDL ARUNACHAL PRAD  9.02% 2022,21-Mar-12,21-Mar-22,21-Mar-20,21-Sep-20,Half Yearly,,0,IN1120110011
SG,NAG22,9.04%,SDL NAGALAND 9.04% 2022,21-Mar-12,21-Mar-22,21-Mar-20,21-Sep-20,Half Yearly,,0,IN2620110030
DB,TCHF22A,10%,TATACAP HFN 10% 22 12-13- B,30-May-12,30-May-22,30-May-19,30-May-20,Yearly,,0,INE033L08098
SG,GUJ21,8.56%,SDL GUJARAT 8.56% 2021,22-Jun-11,22-Jun-21,22-Dec-19,22-Jun-20,Half Yearly,15-Apr-19,102.5944,IN1520110025
GS,CG2021,10.25%,GOI LOAN 10.25% 2021,30-May-01,30-May-21,30-Nov-19,30-May-20,Half Yearly,08-Jan-20,105.935,IN0020010040
PZ,PFC22,0%,PFC 0% 2022(S-XIX),30-Dec-02,30-Dec-22,,,0,24-Aug-07,23.775,INE134E08693
DP,TPOW,RESET,TATA POW PERPETUAL RESET,02-Jun-11,02-Jun-21,30-Oct-19,30-Apr-20,Half Yearly,24-Jun-16,107.99,INE245A08034
PT,PFC21,8.85%,PFC 8.85% 2021(S-XXVIII),31-May-06,31-May-21,31-May-19,31-May-20,Yearly,09-Nov-06,100.08,INE134E08925
DB,PNBH23,9.20%,PNB HSG FIN 9.20% 2023 (S VIIE,16-Jan-08,16-Jan-23,30-Mar-20,30-Sep-20,Half Yearly,10-Jun-09,104,INE572E09106
GS,CG2026,8.00%,GOI 8.00% 2026 OIL BOND,23-Mar-09,23-Mar-26,23-Mar-20,23-Sep-20,Half Yearly,14-Feb-18,100.7554,IN0020089077
DB,SUNF20,9.85%,SUNDARAM  FIN9.85% 2020 (S-J5),07-May-10,07-May-20,09-May-19,07-May-20,Yearly,,0,INE660A08BG3
PT,PFC30,8.85%,PFC 8.85% 2030 (S-66-C),15-Jun-10,15-Jun-30,15-Jun-19,15-Jun-20,Yearly,03-Feb-15,105.07,INE134E08DB8
SG,RAJ20,8.11%,SDL RAJASTHAN 8.11% 2020,09-Jun-10,09-Jun-20,09-Dec-19,09-Jun-20,Half Yearly,,0,IN2920100020
SG,RAJ20,8.12%,SDL RAJASTHAN 8.12% 2020,21-Jul-10,21-Jul-20,21-Jan-20,21-Jul-20,Half Yearly,,0,IN2920100053
ID,EXIM22A,8.68%,EXIM BANK 8.68% 2022 (S-N-06),28-Jul-10,28-Jul-22,28-Jul-19,28-Jul-20,Yearly,,0,INE514E08753
SG,MP20,8.44%,SDL MADHYA PRADESH 8.44% 2020,08-Dec-10,08-Dec-20,08-Dec-19,08-Jun-20,Half Yearly,20-May-19,102.1444,IN2120100010
SG,MEGH20,8.39%,SDL MEGHALAYA 8.39% 2020,22-Sep-10,22-Sep-20,22-Mar-20,22-Sep-20,Half Yearly,,0,IN2420100017
DP,TISC,RESET,TATA STEEL RST PER BND,18-Mar-11,18-Mar-21,18-Mar-20,18-Sep-20,Half Yearly,18-Nov-13,104.8603,INE081A08165
DB,GESC23,9.70%,GE SHIPPING 9.70% 2023,07-Jan-11,07-Jan-23,07-Jan-20,07-Jan-21,Yearly,,0,INE017A08185
PT,NTPC30,8.79%,NTPC 8.785% 2030S-XXXVSTRPP-O,15-Sep-10,15-Sep-30,10-Jul-19,10-Jul-20,Yearly,,0,INE733E07DZ8
PT,PGC24A,8.84%,PGC 8.84% 2024 (S-XXXIV-STP-K),21-Oct-10,21-Oct-24,21-Oct-19,21-Oct-20,Yearly,18-Jul-11,96.3672,INE752E07HY2
SG,AP21,8.37%,SDL ANDHRA PRADESH 8.37% 2021,16-Mar-11,16-Mar-21,16-Mar-20,16-Sep-20,Half Yearly,28-Mar-11,100.2616,IN1020100153
BB,CANB25,RESET,CANARA BANK RST 2025 (S-III),29-Sep-10,29-Sep-25,29-Sep-19,29-Sep-20,Yearly,,0,INE476A09231
SG,AP20,8.11%,SDL ANDHRA PRADESH 8.11% 2020,23-Jun-10,23-Jun-20,23-Dec-19,23-Jun-20,Half Yearly,07-Aug-15,99.5107,IN1020100047
PT,IRFC30,8.80%,IND RLY FIN 8.80% 2030 (S -67B,03-Feb-10,03-Feb-30,15-Apr-20,15-Oct-20,Half Yearly,14-Jul-11,95.99,INE053F09GR4
SG,JHAR20,8.28%,SDL JHARKHAND 8.28% 2020,12-May-10,12-May-20,12-Nov-19,12-May-20,Half Yearly,,0,IN3720100012
SG,AP21,8.63%,SDL ANDHRA PRADESH 8.63% 2021,07-Sep-11,07-Sep-21,07-Mar-20,07-Sep-20,Half Yearly,16-Oct-18,100.8427,IN1020110061
PT,PGC24,9.35%,PGCIL 9.35% 2024 (S-XXXVI-I),29-Aug-11,29-Aug-24,29-Aug-19,29-Aug-20,Yearly,09-Mar-18,104.7177,INE752E07IU8
PT,PGC26,9.35%,PGCIL 9.35% 2026 (S-XXXVI-K),29-Aug-11,29-Aug-26,29-Aug-19,29-Aug-20,Yearly,26-Feb-13,103.8685,INE752E07IW4
DP,CHOIC,RESET,CHOLAMANDALAM RST PERP S-PDI-4,18-Aug-11,18-Aug-21,18-Feb-20,18-Aug-20,Half Yearly,,0,INE121A08MB4
SG,RAJ21,8.65%,SDL RAJASTHAN 8.65% 2021,21-Sep-11,21-Sep-21,21-Mar-20,21-Sep-20,Half Yearly,,0,IN2920110011
SG,HP21,8.85%,SDL HIMACHALPRAD 8.85% 2021,05-Oct-11,05-Oct-21,05-Apr-20,05-Oct-20,Half Yearly,,0,IN1720110015
SG,RAJ21,8.85%,SDL RAJASTHAN 8.85% 2021,05-Oct-11,05-Oct-21,05-Apr-20,05-Oct-20,Half Yearly,,0,IN2920110029
SG,KRN21,9.19%,SDL KARNATAKA 9.19% 2021,09-Nov-11,09-Nov-21,09-Nov-19,09-May-20,Half Yearly,20-Sep-16,107.5808,IN1920110013
SG,GOA21,9.19%,SDL GOA 9.19% 2021,23-Nov-11,23-Nov-21,23-Nov-19,23-May-20,Half Yearly,,0,IN1420110034
DB,HDFC20,9%,HDFC 9% 2020 (S-212 (H-016)),23-Dec-10,23-Dec-20,23-Mar-20,23-Jun-20,Quarterly,,0,INE001A07FZ3
PT,NTPC21,8.81%,NTPC 8.8086%21 S-XXXVI STRPP-F,15-Dec-10,15-Dec-21,10-Jul-19,10-Jul-20,Yearly,,0,INE733E07EF8
SG,KER21,8.51%,SDL KERALA 8.51% 2021,17-Feb-11,17-Feb-21,17-Feb-20,17-Aug-20,Half Yearly,22-Feb-18,102.2532,IN2020100045
SG,PUN21,8.52%,SDL PUNJAB 8.52% 2021,17-Feb-11,17-Feb-21,17-Feb-20,17-Aug-20,Half Yearly,21-Jan-16,101.3985,IN2820100120
PT,NTPC21,9.56%,NTPC 9.558% 21(S-XL) STRPP-E,29-Jul-11,29-Jul-21,10-Jul-19,10-Jul-20,Yearly,,0,INE733E07FY6
PT,NTPC22,9.56%,NTPC 9.558% 22(S-XL) STRPP-F,29-Jul-11,29-Jul-22,10-Jul-19,10-Jul-20,Yearly,,0,INE733E07FZ3
